Contribuinte_ID,Nome,CPF,Ano_Referência,Renda_Declarada(R$),Imposto_Devido(R$),Imposto_Pago(R$),Valor_Não_Declarado(R$),Déficit_Declaração(%),Situação,Data_Envio,Estado,Fonte_de_Renda,Número_de_Bens_Declarados,Total_de_Deduções(R$),Imposto_Restituição(R$),Faixa_Imposto,Recebeu_Multas?,Valor_Multas(R$)
64572,Ana Clara Mendes,316.713.644-30,2023,447584.02,29241.71,25468.93,47933.98,38.31,Auditoria,2024-06-01,MT,Aposentado,7,4911.37,9970.23,15%,Não,8006.2
40192,Eduardo Farias,323.198.239-67,2022,441533.52,17890.66,36430.16,2508.25,22.25,Regular,2024-04-14,MT,Empresário,9,19678.29,1197.87,7.5%,Não,9488.03
21644,Vanessa Almeida,915.138.815-84,2022,329692.17,46345.71,7421.09,34927.91,36.41,Auditoria,2025-01-04,ES,Aposentado,5,26629.64,4460.7,22.5%,Sim,1657.02
85994,Fernanda Lima,650.535.878-53,2022,86132.85,22629.21,34325.05,41732.69,11.12,Notificação,2024-06-24,PE,Empregado CLT,0,55156.3,281.4,Isento,Sim,9559.0
36759,Paulo Henrique,826.301.233-50,2022,187734.63,32695.75,6083.1,44798.03,21.17,Regular,2024-06-21,MT,Autônomo,1,50179.63,8649.17,22.5%,Não,9761.4
60382,Eduardo Farias,858.599.376-71,2022,452659.58,39130.73,37163.26,14035.87,16.28,Regular,2024-11-16,PR,Empresário,4,32468.36,1179.53,22.5%,Não,83.31
75364,Fernanda Lima,340.667.924-30,2023,388559.21,33447.88,28503.62,43725.5,26.79,Pendência,2025-02-28,PE,Investidor,10,2031.29,3920.91,27.5%,Sim,3000.52
60581,Thiago Nunes,429.506.389-87,2023,31228.05,36781.41,31022.63,46622.48,7.26,Regular,2024-08-13,PB,Investidor,3,58896.22,2883.35,Isento,Não,9335.07
93539,João Pereira,978.157.345-57,2022,287467.49,40463.27,11153.73,6465.59,32.99,Regular,2025-02-06,AM,Autônomo,8,9850.35,5272.69,27.5%,Sim,3317.78
53399,Vanessa Almeida,887.215.203-52,2024,259807.87,38554.86,8330.46,45681.39,28.39,Regular,2024-03-18,PR,Investidor,8,4781.51,2615.04,Isento,Não,8243.83
40835,Gabriela Santos,233.658.901-23,2022,80148.92,49329.74,18761.1,43983.62,23.18,Auditoria,2024-10-08,RS,Autônomo,4,24031.39,3830.5,Isento,Sim,5151.13
87773,João Pereira,991.517.103-54,2023,40854.24,47428.57,34491.9,20777.32,36.31,Notificação,2024-03-24,DF,Autônomo,3,28275.23,5083.7,27.5%,Sim,352.01
81875,Thiago Nunes,864.359.940-38,2023,250243.08,19206.81,25847.44,12866.92,18.66,Pendência,2024-08-22,CE,Empresário,5,43964.9,8419.76,15%,Sim,3957.84
29230,Roberto Souza,886.531.585-17,2022,202855.32,32635.05,13383.61,27979.22,11.17,Regular,2024-10-29,PB,Empresário,6,54769.54,9479.75,22.5%,Sim,1370.32
62937,Carlos Silva,702.290.339-10,2022,353875.41,5716.09,39274.34,17707.45,31.6,Pendência,2024-07-11,MT,Autônomo,2,6567.44,3065.24,Isento,Não,527.4
82894,Mariana Rocha,391.769.168-77,2022,346076.28,5980.77,18692.09,24663.64,20.24,Notificação,2024-07-11,PE,Autônomo,1,36679.72,3672.44,27.5%,Sim,136.08
44095,Mariana Rocha,276.253.599-29,2023,494406.48,8588.49,18825.92,31279.34,30.13,Regular,2024-12-30,RS,Autônomo,9,53600.55,7396.83,Isento,Sim,8055.18
47584,Mariana Rocha,114.913.880-68,2023,186000.77,41650.35,2272.37,33480.65,12.0,Pendência,2024-10-31,BA,Empregado CLT,6,16539.28,9818.3,Isento,Sim,6549.2
48662,Gabriela Santos,753.108.779-12,2022,368691.91,45013.26,1605.58,20034.19,30.98,Pendência,2024-07-29,SP,Empresário,4,57557.1,1899.39,15%,Sim,6734.89
89048,Mariana Rocha,666.691.399-44,2023,333486.24,13291.0,7425.08,37405.34,5.44,Regular,2024-04-30,GO,Empregado CLT,6,9591.72,1375.83,27.5%,Sim,6164.18
90781,João Pereira,134.200.216-17,2023,184418.48,40836.23,24057.13,1077.98,28.83,Auditoria,2024-05-06,PE,Aposentado,7,39553.55,5579.95,22.5%,Sim,4695.8
30125,Vanessa Almeida,670.737.747-81,2022,242384.72,31623.74,29329.55,21117.25,8.64,Auditoria,2024-04-30,RJ,Empresário,6,11357.65,164.23,Isento,Sim,9370.06
19153,Mariana Rocha,668.776.347-60,2022,132368.34,6588.26,902.63,9051.91,37.55,Pendência,2024-11-13,PB,Empresário,10,35710.39,1506.06,27.5%,Não,5577.07
18989,Carlos Silva,643.785.972-46,2023,462248.54,33650.37,39001.39,21756.16,24.14,Auditoria,2024-04-09,MT,Aposentado,10,32314.24,1948.19,15%,Não,2222.11
49361,Ana Clara Mendes,495.913.523-83,2023,254565.92,28012.66,28482.72,45854.59,6.95,Auditoria,2024-07-19,AM,Empregado CLT,10,26095.4,8909.97,22.5%,Sim,403.42
12896,Vanessa Almeida,828.797.350-67,2024,210728.13,22664.83,23422.11,45830.91,27.65,Auditoria,2024-08-24,PE,Aposentado,2,32461.05,7960.41,Isento,Não,1826.77
72620,Ana Clara Mendes,391.795.707-73,2024,379199.72,23802.84,36303.83,38283.46,37.72,Auditoria,2024-07-28,SC,Empregado CLT,7,20151.26,1981.34,22.5%,Sim,8018.91
61873,Paulo Henrique,552.912.779-66,2024,68580.77,44168.01,33462.13,38640.97,32.6,Auditoria,2024-11-13,GO,Empresário,7,32234.35,8580.45,Isento,Sim,9069.5
72636,Mariana Rocha,773.418.870-12,2024,275202.56,9421.48,13648.38,32844.03,14.45,Auditoria,2024-12-26,RJ,Investidor,4,6968.34,9959.21,7.5%,Não,7743.43
28640,Ana Clara Mendes,167.308.605-73,2024,52267.78,10201.4,24746.78,22841.42,38.56,Pendência,2024-06-08,MG,Investidor,5,35787.1,4897.64,15%,Sim,715.65
76718,Carlos Silva,585.582.283-54,2024,433680.85,45259.84,32031.8,47862.46,36.52,Pendência,2024-03-18,PE,Empresário,3,35525.15,3724.75,7.5%,Sim,3355.17
83825,Lucas Oliveira,278.420.649-79,2024,96137.77,16055.12,44841.82,37102.74,7.7,Auditoria,2024-12-09,SP,Aposentado,9,5888.99,1581.03,22.5%,Sim,2488.02
60051,Paulo Henrique,223.139.401-93,2024,61523.38,1836.01,19180.29,48530.5,34.35,Regular,2024-09-21,BA,Empregado CLT,5,22321.8,706.3,7.5%,Não,6081.12
69829,Gabriela Santos,631.951.588-61,2024,312084.97,35044.75,23740.16,42657.97,28.76,Pendência,2024-10-09,PE,Empresário,0,58866.55,6360.49,27.5%,Sim,6417.7
43715,Carlos Silva,186.641.473-26,2022,110219.96,26156.34,43452.48,4070.58,9.05,Pendência,2025-01-02,RJ,Aposentado,4,53913.65,3106.1,15%,Não,1434.8
49784,Roberto Souza,412.308.359-45,2023,63995.22,1604.49,35994.89,13383.64,18.84,Auditoria,2024-03-14,BA,Autônomo,2,31841.73,1947.34,15%,Sim,3693.03
98346,Carlos Silva,483.682.109-99,2024,181359.57,32876.32,16581.5,33450.5,15.59,Regular,2024-07-02,CE,Autônomo,9,23943.12,155.05,7.5%,Não,7867.79
67861,Mariana Rocha,560.857.887-57,2023,127534.47,17568.47,38182.15,19618.27,31.48,Regular,2024-08-16,MT,Empresário,8,58744.22,6702.59,15%,Não,9973.76
32798,Vanessa Almeida,280.595.172-11,2024,83270.41,16930.28,41792.76,38953.32,7.78,Auditoria,2024-06-15,RS,Autônomo,10,30799.81,8726.66,Isento,Sim,2187.21
49476,Carlos Silva,963.514.411-29,2024,268640.7,9832.38,4510.97,49235.22,17.95,Pendência,2024-10-19,RJ,Aposentado,4,3671.27,7587.7,7.5%,Não,198.09
38388,Thiago Nunes,221.602.521-59,2023,137990.2,36877.06,28753.27,1086.4,14.5,Auditoria,2024-07-31,BA,Autônomo,5,4924.49,7808.28,7.5%,Sim,2544.1
29880,Mariana Rocha,553.908.564-86,2024,407723.73,8120.24,24671.1,36189.89,26.09,Auditoria,2025-02-10,AM,Investidor,7,21742.09,4198.25,27.5%,Não,2793.59
75862,Gabriela Santos,338.561.669-61,2023,286731.12,12043.4,41765.78,39446.51,21.57,Auditoria,2024-08-06,SP,Empregado CLT,7,58826.42,6033.2,7.5%,Não,1062.13
49128,Vanessa Almeida,716.363.812-41,2024,379242.16,19200.95,39795.25,17824.04,30.94,Regular,2025-01-18,SC,Empresário,0,21471.95,3396.08,15%,Sim,7699.53
72024,Vanessa Almeida,922.509.509-79,2022,117090.84,40398.73,27758.97,6330.76,28.88,Pendência,2024-10-07,GO,Investidor,2,21176.72,3372.61,Isento,Sim,5525.43
43033,Ana Clara Mendes,763.124.736-83,2022,194318.04,46621.88,16731.04,12108.11,21.49,Auditoria,2024-11-28,BA,Empresário,1,36134.57,1441.24,27.5%,Não,2731.81
42918,João Pereira,818.720.803-14,2022,370720.07,32576.32,27574.37,11789.53,37.08,Pendência,2024-09-16,ES,Investidor,9,16460.33,9160.22,27.5%,Não,2161.44
86829,Vanessa Almeida,436.245.398-82,2023,306865.89,5544.54,5933.12,19347.38,6.72,Regular,2024-04-14,MT,Aposentado,2,10265.72,4341.2,22.5%,Sim,635.76
22468,Thiago Nunes,978.181.571-42,2024,336693.92,6383.77,44950.77,11478.87,39.36,Regular,2024-03-26,ES,Autônomo,5,4602.83,3940.48,22.5%,Sim,3832.22
50567,Roberto Souza,517.892.542-49,2024,393331.62,27371.4,38604.1,30911.49,12.89,Notificação,2024-11-20,RS,Empregado CLT,6,33515.36,3473.01,27.5%,Não,8430.46
46794,João Pereira,890.116.176-42,2024,345591.63,10435.13,21529.55,14751.48,28.07,Pendência,2024-08-24,SP,Empregado CLT,6,17235.65,3051.39,22.5%,Não,7671.33
42055,Vanessa Almeida,629.226.486-27,2023,493692.58,6879.9,30665.39,18085.68,28.01,Auditoria,2024-10-22,CE,Empresário,4,42901.16,3227.91,Isento,Sim,3911.78
21037,Paulo Henrique,552.180.689-92,2024,278889.72,24282.55,31146.39,30456.31,37.4,Pendência,2024-08-25,MG,Aposentado,5,27356.06,5083.22,Isento,Não,5442.06
67122,Lucas Oliveira,736.526.278-65,2024,261853.49,4320.2,35742.51,14471.82,24.26,Regular,2024-12-10,PB,Empregado CLT,3,22787.17,8707.91,27.5%,Sim,3526.09
90209,Eduardo Farias,106.299.128-35,2023,348410.51,9484.44,32825.43,25151.02,19.92,Auditoria,2024-12-08,RJ,Empregado CLT,0,47583.97,3795.98,27.5%,Sim,6800.92
45168,Roberto Souza,993.209.630-72,2024,382982.51,29645.09,3118.22,30091.1,39.8,Regular,2024-06-13,SP,Empresário,2,36242.48,3118.95,15%,Não,9737.69
16728,Fernanda Lima,277.402.929-90,2024,284281.21,7616.96,44522.61,3772.03,12.81,Auditoria,2024-05-09,PB,Aposentado,3,31528.15,1804.1,7.5%,Sim,2698.93
12446,Thiago Nunes,882.360.141-64,2023,409533.61,49737.56,35806.94,26090.32,24.36,Pendência,2024-07-29,RS,Empregado CLT,10,32483.95,2648.28,7.5%,Não,9704.65
10359,Lucas Oliveira,417.430.137-85,2022,301421.56,46751.33,36040.15,1519.95,5.9,Pendência,2024-03-13,ES,Autônomo,6,15919.91,528.77,15%,Não,8468.89
75558,Gabriela Santos,195.266.589-77,2022,155747.7,2742.29,15319.4,31918.39,33.39,Notificação,2024-03-26,GO,Aposentado,7,1954.95,5579.62,22.5%,Sim,9770.05
